Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,298.160004,302.799988,290.000000,293.660004,293.178101,556100
2020-04-02,290.420013,305.070007,290.420013,305.070007,304.569397,479100
2020-04-03,304.739990,308.000000,293.019989,299.679993,299.188232,458800
2020-04-06,312.779999,317.269989,303.290009,312.619995,312.106995,660300
2020-04-07,323.010010,327.149994,307.029999,308.109985,308.109985,663300
2020-04-08,311.750000,320.760010,306.910004,318.079987,318.079987,482600
2020-04-09,319.350006,327.589996,314.290009,315.450012,315.450012,605600
2020-04-13,313.299988,316.609985,308.010010,314.720001,314.720001,357500
2020-04-14,320.309998,324.929993,312.540009,319.660004,319.660004,622700
2020-04-15,314.410004,317.510010,310.839996,314.089996,314.089996,482900
2020-04-16,314.839996,316.640015,306.850006,310.100006,310.100006,867700
2020-04-17,318.589996,324.250000,313.980011,321.970001,321.970001,613400
2020-04-20,318.989990,324.950012,314.709991,320.320007,320.320007,475500
2020-04-21,314.329987,315.299988,308.700012,310.579987,310.579987,466200
2020-04-22,315.760010,318.519989,310.429993,313.640015,313.640015,416700
2020-04-23,315.109985,322.220001,312.929993,314.010010,314.010010,401200
2020-04-24,315.279999,317.269989,304.549988,306.410004,306.410004,955300
2020-04-27,309.519989,317.429993,308.170013,314.549988,314.549988,929700
2020-04-28,345.000000,354.940002,323.329987,336.790009,336.790009,1144800
