Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,138.529999,138.529999,137.320007,138.080002,132.709930,359400
2014-01-03,138.050003,139.029999,137.559998,138.229996,132.854111,357300
2014-01-06,139.169998,139.309998,137.270004,137.660004,132.306213,396300
2014-01-07,138.190002,138.410004,136.830002,137.929993,132.565750,345800
2014-01-08,137.729996,139.050003,137.410004,138.309998,133.124023,349000
2014-01-09,139.259995,140.320007,139.179993,139.539993,134.307877,489200
2014-01-10,139.539993,139.960007,138.479996,139.380005,134.153900,274700
2014-01-13,138.809998,139.929993,137.729996,137.979996,132.806366,352900
2014-01-14,138.449997,139.710007,137.809998,139.649994,134.413788,422900
2014-01-15,139.740005,140.600006,139.520004,140.570007,135.299286,286400
2014-01-16,141.250000,142.529999,140.619995,140.860001,135.578430,322700
2014-01-17,140.660004,140.729996,139.419998,140.039993,134.789108,391400
2014-01-21,140.410004,142.339996,140.369995,141.919998,136.598648,379600
2014-01-22,141.910004,141.910004,141.130005,141.539993,136.232910,200000
2014-01-23,140.360001,141.279999,138.619995,139.000000,133.788132,466800
2014-01-24,137.750000,138.199997,135.000000,135.669998,130.583023,894400
2014-01-27,137.339996,138.759995,134.880005,135.410004,130.332779,745300
2014-01-28,135.759995,139.070007,135.259995,137.729996,132.565735,455400
2014-01-29,136.479996,137.979996,135.679993,136.179993,131.073883,423700
2014-01-30,137.360001,138.000000,136.570007,137.770004,132.604294,313500
2014-01-31,136.119995,138.279999,135.389999,137.240005,132.094162,472400
2014-02-03,136.860001,138.059998,131.580002,131.800003,126.858078,735700
2014-02-04,132.270004,132.720001,131.149994,131.990005,127.040955,966600
2014-02-05,131.509995,132.580002,130.729996,131.919998,126.973610,452500
2014-02-06,132.589996,133.360001,131.940002,132.770004,127.791718,481600
2014-02-07,133.460007,134.500000,133.240005,133.899994,128.879349,520300
2014-02-10,134.009995,134.229996,132.779999,133.000000,128.013092,505800
2014-02-11,133.500000,134.000000,132.970001,133.619995,128.609848,572000
2014-02-12,133.949997,135.490005,133.949997,134.940002,129.880341,480900
2014-02-13,134.220001,136.539993,134.000000,136.490005,131.372269,418400
2014-02-14,136.490005,137.380005,135.539993,136.869995,131.737991,617700
2014-02-18,136.729996,137.139999,135.619995,135.889999,130.794724,439900
2014-02-19,135.750000,136.839996,134.649994,135.050003,129.986298,335200
2014-02-20,135.360001,135.889999,134.429993,135.539993,130.457825,368700
2014-02-21,135.600006,136.570007,134.860001,134.919998,129.861130,357200
2014-02-24,135.410004,137.050003,135.210007,135.309998,130.236526,624000
2014-02-25,135.410004,136.130005,135.009995,135.300003,130.226883,443500
2014-02-26,135.850006,136.490005,134.800003,134.979996,129.918884,500300
2014-02-27,134.860001,135.419998,131.619995,134.610001,129.562775,436400
2014-02-28,134.500000,136.460007,134.320007,135.619995,130.534897,897500
2014-03-03,134.520004,135.250000,133.729996,134.690002,129.639755,374500
2014-03-04,135.690002,137.220001,135.479996,136.320007,131.208618,557600
2014-03-05,136.669998,137.729996,136.300003,137.000000,131.863113,668300
2014-03-06,136.949997,139.070007,136.949997,138.660004,133.460861,745300
2014-03-07,139.160004,139.779999,138.350006,139.500000,134.269409,701600
2014-03-10,139.339996,139.630005,136.720001,137.059998,131.920898,775300
2014-03-11,137.059998,137.729996,133.690002,134.229996,129.197006,1084400
2014-03-12,133.759995,134.169998,132.220001,134.080002,129.052658,850200
2014-03-13,134.860001,135.610001,133.220001,133.929993,128.908249,654400
2014-03-14,133.080002,134.669998,132.970001,134.070007,129.042999,635900
2014-03-17,135.029999,136.690002,134.830002,136.630005,131.507034,745700
2014-03-18,136.800003,137.289993,136.309998,136.940002,131.805405,698100
2014-03-19,136.850006,137.160004,134.509995,135.350006,130.274994,349900
2014-03-20,134.850006,135.619995,134.229996,135.029999,129.966995,300800
